Escola,Código INEP,UF,Município,Localização,Endereço,Porte da Escola,Etapas e Modalidade de Ensino Oferecidas,Latitude,Longitude
IFC - CAMPUS FRAIBURGO,42084679,SC,Fraiburgo,Urbana,"CRUZ E SOUZA, 89 PREDIO. CENTRO. 89580-000 Fraiburgo - SC.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",-27.0300006,-50.9181761
IFC - CAMPUS BLUMENAU,42099501,SC,Blumenau,Urbana,"RUA BERNARDINO JOSE DE OLIVEIRA, 81 BADENFURT. 89070-270 Blumenau - SC.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",-26.88193928,-49.13699551
IFSC - CAMPUS SAO JOSE,42106184,SC,São José,Urbana,"RUA JOSE LINO KRETZER, 608 PRAIA COMPRIDA. 88103-310 São José - SC.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",-27.60867576,-48.63353649
IFSC - CAMPUS GAROPABA,42116520,SC,Garopaba,Urbana,"RUA MARIA APARECIDA BARBOSA, 153 CAMPO D UNA. 88495-000 Garopaba - SC.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",-28.09875245,-48.67495417
IFC - CAMPUS SANTA ROSA DO SUL,42131154,SC,Santa Rosa do Sul,Rural,"RUA DAS ROSAS, S/N VILA NOVA. 88965-000 Santa Rosa do Sul - SC.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-29.0957641,-49.8142248
IFC - CAMPUS RIO DO SUL,42131162,SC,Rio do Sul,Rural,"ESTRADA DO REDENTOR, 5665 CANTA GALO. 89163-356 Rio do Sul - SC.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",-27.18438147,-49.66064209
IFSC - CAMPUS JARAGUA DO SUL,42132258,SC,Jaraguá do Sul,Urbana,"AVENIDA GETULIO VARGAS, 830 CENTRO. 89251-000 Jaraguá do Sul - SC.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",-26.47794,-49.08971
IFSC - CAMPUS CHAPECO,42150019,SC,Chapecó,Urbana,"RUA NEREU RAMOS, 3450D SEMINARIO. 89813-000 Chapecó - SC.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",-27.13746,-52.59889
IFSC - CAMPUS JOINVILLE,42150027,SC,Joinville,Urbana,"RUA PAVAO, 1377 COSTA E SILVA. 89220-618 Joinville - SC.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional",-26.2782054,-48.88008063
IFC - CAMPUS BRUSQUE,42150663,SC,Brusque,Urbana,"AVENIDA HUGO SCHLOSSER, 605 JARDIM MALUCHE. 88354-300 Brusque - SC.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-27.0994225,-48.9282191
IFSC - CAMPUS TUBARAO,42150671,SC,Tubarão,Urbana,"RUA DEPUTADO OLICES PEDRA DE CALDAS, 480 DEHON. 88704-296 Tubarão - SC.",Entre 51 e 200 matrículas de escolarização,Educação Profissional,-28.47446632,-49.02570484
IFC - CAMPUS AVANCADO SOMBRIO,42151589,SC,Sombrio,Urbana,"AV PREFEITO FRANCISCO LUMMERTZ JUNIOR, 931 IFC. JANUARIA. 88960-000 Sombrio - SC.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",-29.1020048,-49.6389374
IFSC - CAMPUS SAO CARLOS,42152119,SC,São Carlos,Urbana,"RUA ALOISIO STOFFEL, 1271 JARDIMALVORADA. 89885-000 São Carlos - SC.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",-27.09210361,-53.01345875
IFC - CAMPUS AVANCADO ABELARDO LUZ,42152500,SC,Abelardo Luz,Rural,"ESTRADA GERAL - ASSENTAMENTO JOSE MARIA, SN ASSENT. JOSE MARIA. 89830-000 Abelardo Luz - SC.",Entre 51 e 200 matrículas de escolarização,"Ensino Médio, Educação Profissional",-26.5866985,-52.1047688
IFC - CAMPUS SAO BENTO DO SUL,42152615,SC,São Bento do Sul,Urbana,"RUA PAULO CHAPIEWSKY, 931 CENTENARIO. 89283-064 São Bento do Sul - SC.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-26.24969501,-49.34973748
IFSC - CAMPUS AVANCADO SAO LOURENCO DO OESTE,42153522,SC,São Lourenço do Oeste,Urbana,"RUA ADERBAL RAMOS DA SILVA, 486 PROGRESSO. 89990-000 São Lourenço do Oeste - SC.",Entre 51 e 200 matrículas de escolarização,"Educação Profissional, Educação de Jovens Adultos",-26.40429107,-52.78483203
IFSC - CAMPUS FLORIANOPOLIS-CONTINENTE,42161207,SC,Florianópolis,Urbana,"RUA QUATORZE DE JULHO, 150 COQUEIROS. 88075-010 Florianópolis - SC.",Entre 501 e 1000 matrículas de escolarização,"Educação Profissional, Educação de Jovens Adultos",-27.59981808,-48.57181653
IFSC - CAMPUS ARARANGUA,42238200,SC,Araranguá,Urbana,"AVENIDA XV DE NOVEMBRO, 61 AEROPORTO. 88905-112 Araranguá - SC.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",-28.94781484,-49.49330505
IFC - CAMPUS VIDEIRA,42331307,SC,Videira,Urbana,"RODOVIA SC-135, KM 125 CAMPO EXPERIMENTAL. 89564-590 Videira - SC.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",-27.0268813,-51.1449898
IFS - CAMPUS LAGARTO,28012020,SE,Lagarto,Rural,"RUA CAUBY, 523 ZONA RURAL. JARDIM CAMPO NOVO. 49400-000 Lagarto - SE.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional",-10.9387678,-37.6569299
IFS - CAMPUS ARACAJU,28019342,SE,Aracaju,Urbana,"AVENIDA ENG GENTIL TAVARES DA MOTA, 1166 GETULIO VARGAS. 49055-260 Aracaju - SE.",Mais de 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",-10.9153951,-37.06500239
IFS - CAMPUS SAO CRISTOVAO,28021118,SE,São Cristóvão,Rural,"AREA RURAL, S/N POVOADO QUISSAMA. AREA RURAL DE SAO CRISTOVAO. 49109-899 São Cristóvão - SE.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional",-10.9136605,-37.1857802
IFS - CAMPUS ESTANCIA,28033930,SE,Estância,Urbana,"RUA JOAO CAFE FILHO, 260 PREDIO. CIDADE NOVA. 49200-000 Estância - SE.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-11.23591,-37.42245333
IFS - CAMPUS NOSSA SENHORA DA GLORIA,28034112,SE,Nossa Senhora da Glória,Rural,"POVOADO PIABAS, S/N ZONA RURAL. 49680-000 Nossa Senhora da Glória - SE.",Até 50 matrículas de escolarização,"Ensino Médio, Educação Profissional",-10.20636333,-37.43087833
IFS - CAMPUS ITABAIANA,28034228,SE,Itabaiana,Urbana,"AVENIDA PADRE AIRTON GONCALVES DE LIMA, 1140 SAO CRISTOVAO. 49500-543 Itabaiana - SE.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-10.69070873,-37.4057686
IFS - CAMPUS TOBIAS BARRETO,28035275,SE,Tobias Barreto,Urbana,"AVENIDA OSVALDO CARVALHO PRADO, S/N CONJUNTO AGRIPINO II. 49300-000 Tobias Barreto - SE.",Entre 51 e 200 matrículas de escolarização,"Ensino Médio, Educação Profissional",-11.16402955,-37.98128946
